,기준년도,사용본거지시읍면동_행정동기준,차명,연료
88821,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88822,2022,서울특별시 강남구 대치동,아이오닉5(IONIQ5),전기
88823,2022,서울특별시 강남구 대치동,아이오닉5(IONIQ5),전기
88824,2022,서울특별시 강남구 대치동,아이오닉5(IONIQ5),전기
88825,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88826,2022,서울특별시 강남구 대치동,아이오닉5(IONIQ5),전기
88827,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88828,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88829,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88830,2022,서울특별시 강남구 대치동,아이오닉5(IONIQ5),전기
88831,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88832,2022,서울특별시 강남구 대치동,EV6,전기
88833,2022,서울특별시 강남구 대치동,EV6,전기
88834,2022,서울특별시 강남구 대치동,EV6,전기
88835,2022,서울특별시 강남구 대치동,EV6,전기
88836,2022,서울특별시 강남구 대치동,EV6,전기
88837,2022,서울특별시 강남구 대치동,EV6,전기
88838,2022,서울특별시 강남구 대치동,아이오닉5(IONIQ5),전기
88839,2022,서울특별시 강남구 대치동,EV6,전기
88840,2022,서울특별시 강남구 대치동,EV6,전기
88841,2022,서울특별시 강남구 대치동,EV6,전기
88842,2022,서울특별시 강남구 대치동,EV6,전기
88843,2022,서울특별시 강남구 대치동,EV6,전기
88844,2022,서울특별시 강남구 대치동,EV6,전기
88845,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88846,2022,서울특별시 강남구 대치동,EV6,전기
88847,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88848,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88849,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88850,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88851,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88852,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88853,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88854,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88855,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88856,2022,서울특별시 강남구 대치동,아이오닉5(IONIQ5),전기
88857,2022,서울특별시 강남구 대치동,아이오닉5(IONIQ5),전기
88858,2022,서울특별시 강남구 대치동,아이오닉5(IONIQ5),전기
88859,2022,서울특별시 강남구 대치동,아이오닉5(IONIQ5),전기
88860,2022,서울특별시 강남구 대치동,아이오닉5(IONIQ5),전기
88861,2022,서울특별시 강남구 대치동,아이오닉5(IONIQ5),전기
88862,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88863,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88864,2022,서울특별시 강남구 대치동,아이오닉5(IONIQ5),전기
